image_url,x,y,width,height,neighborhood,intersection
https://lh3.googleusercontent.com/d/1ZTHELJGE0-DGxgJazwjpGNWIZVWYCmi5,164,103,17,21,Sherman Heights,G_19th
https://lh3.googleusercontent.com/d/1ZTHELJGE0-DGxgJazwjpGNWIZVWYCmi5,668,100,25,23,Sherman Heights,G_24th
https://lh3.googleusercontent.com/d/1ZTHELJGE0-DGxgJazwjpGNWIZVWYCmi5,165,861,20,20,Sherman Heights,L_19th
https://lh3.googleusercontent.com/d/1ZTHELJGE0-DGxgJazwjpGNWIZVWYCmi5,666,843,40,41,Sherman Heights,L_24th
https://lh3.googleusercontent.com/d/1Vi-exe6QNF8tfgd6ScbpkNKBbSx9XtWi,189,109,17,21,Sherman Heights,G_19th
https://lh3.googleusercontent.com/d/1Vi-exe6QNF8tfgd6ScbpkNKBbSx9XtWi,685,116,25,23,Sherman Heights,G_24th
https://lh3.googleusercontent.com/d/1Vi-exe6QNF8tfgd6ScbpkNKBbSx9XtWi,173,854,20,20,Sherman Heights,L_19th
https://lh3.googleusercontent.com/d/1Vi-exe6QNF8tfgd6ScbpkNKBbSx9XtWi,667,847,40,41,Sherman Heights,L_24th
https://lh3.googleusercontent.com/d/14SngURwPNLBKa0R0LZiNEBznaRTqDHfk,454,78,36,34,Barrio Logan,16th_Logan
https://lh3.googleusercontent.com/d/14SngURwPNLBKa0R0LZiNEBznaRTqDHfk,392,480,31,34,Barrio Logan,Main_Sigsbee
https://lh3.googleusercontent.com/d/14SngURwPNLBKa0R0LZiNEBznaRTqDHfk,1249,718,29,37,Barrio Logan,Logan_Evans
https://lh3.googleusercontent.com/d/14SngURwPNLBKa0R0LZiNEBznaRTqDHfk,1027,1000,35,28,Barrio Logan,Main_Evans
https://lh3.googleusercontent.com/d/1w8YnFclXi9R4EKF5wPL4gMutIIhaXHF1,472,86,36,34,Barrio Logan,16th_Logan
https://lh3.googleusercontent.com/d/1w8YnFclXi9R4EKF5wPL4gMutIIhaXHF1,405,483,30,35,Barrio Logan,Main_Sigsbee
https://lh3.googleusercontent.com/d/1w8YnFclXi9R4EKF5wPL4gMutIIhaXHF1,1247,730,29,37,Barrio Logan,Logan_Evans
https://lh3.googleusercontent.com/d/1w8YnFclXi9R4EKF5wPL4gMutIIhaXHF1,1024,1002,35,28,Barrio Logan,Main_Evans
https://lh3.googleusercontent.com/d/1xqGyvlbyoZU_05ixA3qWaWQVWQ9ropl6,952,48,59,25,Gaslamp,4th_Broadway
https://lh3.googleusercontent.com/d/1xqGyvlbyoZU_05ixA3qWaWQVWQ9ropl6,955,831,59,25,Gaslamp,4th_K
https://lh3.googleusercontent.com/d/1xqGyvlbyoZU_05ixA3qWaWQVWQ9ropl6,1345,46,59,25,Gaslamp,6th_Broadway
https://lh3.googleusercontent.com/d/1xqGyvlbyoZU_05ixA3qWaWQVWQ9ropl6,1347,830,59,25,Gaslamp,6th_K
https://lh3.googleusercontent.com/d/1iq0FxmUbsrwa8kEouAtY0v7QF34Lpwv3,966,69,59,25,Gaslamp,4th_Broadway
https://lh3.googleusercontent.com/d/1iq0FxmUbsrwa8kEouAtY0v7QF34Lpwv3,954,841,59,25,Gaslamp,4th_K
https://lh3.googleusercontent.com/d/1iq0FxmUbsrwa8kEouAtY0v7QF34Lpwv3,1355,75,59,25,Gaslamp,6th_Broadway
https://lh3.googleusercontent.com/d/1iq0FxmUbsrwa8kEouAtY0v7QF34Lpwv3,1343,848,59,25,Gaslamp,6th_K
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,267,260,30,28,East Village South,7th_Market
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,271,859,32,29,East Village South,7th_Imperial
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1259,260,32,29,East Village South,16th_Market
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,1261,868,32,30,East Village South,16th_Imperial
https://lh3.googleusercontent.com/d/1SzTzmqgAEVAMVuGRAmzggP65cNrbv3tX,284,286,30,28,East Village South,7th_Market
https://lh3.googleusercontent.com/d/1SzTzmqgAEVAMVuGRAmzggP65cNrbv3tX,284,874,32,29,East Village South,7th_Imperial
https://lh3.googleusercontent.com/d/1SzTzmqgAEVAMVuGRAmzggP65cNrbv3tX,1261,287,32,29,East Village South,16th_Market
https://lh3.googleusercontent.com/d/1SzTzmqgAEVAMVuGRAmzggP65cNrbv3tX,1263,885,32,30,East Village South,16th_Imperial
https://lh3.googleusercontent.com/d/1U2vvqDPn9O4lL1c2lLUYk8FNvUhon4cx,210,970,34,38,East Village,7th_Market
https://lh3.googleusercontent.com/d/1U2vvqDPn9O4lL1c2lLUYk8FNvUhon4cx,1259,975,33,35,East Village,16th_Market
https://lh3.googleusercontent.com/d/1U2vvqDPn9O4lL1c2lLUYk8FNvUhon4cx,208,511,34,35,East Village,7th_E
https://lh3.googleusercontent.com/d/1U2vvqDPn9O4lL1c2lLUYk8FNvUhon4cx,1258,511,33,34,East Village,16th_E
https://lh3.googleusercontent.com/d/1Oxmyx8SES-vS7sPlrri3mJ1uyQ2FWJ9o,230,954,34,38,East Village,7th_Market
https://lh3.googleusercontent.com/d/1Oxmyx8SES-vS7sPlrri3mJ1uyQ2FWJ9o,1266,958,33,35,East Village,16th_Market
https://lh3.googleusercontent.com/d/1Oxmyx8SES-vS7sPlrri3mJ1uyQ2FWJ9o,230,502,34,35,East Village,7th_E
https://lh3.googleusercontent.com/d/1Oxmyx8SES-vS7sPlrri3mJ1uyQ2FWJ9o,1264,503,33,34,East Village,16th_E
https://lh3.googleusercontent.com/d/1icnOxg4QU7YsCLJXs7vx1HbVWA5vOOUp,502,387,30,33,Cortez,1st_Cedar
https://lh3.googleusercontent.com/d/1icnOxg4QU7YsCLJXs7vx1HbVWA5vOOUp,504,682,32,33,Cortez,1st_Ash
https://lh3.googleusercontent.com/d/1icnOxg4QU7YsCLJXs7vx1HbVWA5vOOUp,1312,676,32,33,Cortez,9th_Ash
https://lh3.googleusercontent.com/d/1icnOxg4QU7YsCLJXs7vx1HbVWA5vOOUp,1310,381,31,34,Cortez,9th_Cedar
https://lh3.googleusercontent.com/d/1Q_c0fB_VACRWoN6z52xvs4RtbTAUsBia,513,397,30,33,Cortez,1st_Cedar
https://lh3.googleusercontent.com/d/1Q_c0fB_VACRWoN6z52xvs4RtbTAUsBia,511,690,32,32,Cortez,1st_Ash
https://lh3.googleusercontent.com/d/1Q_c0fB_VACRWoN6z52xvs4RtbTAUsBia,1312,693,31,33,Cortez,9th_Ash
https://lh3.googleusercontent.com/d/1Q_c0fB_VACRWoN6z52xvs4RtbTAUsBia,1312,401,32,33,Cortez,9th_Cedar
