image_url,file_id,source_file,url_year,url_month,url_date,date,url_neighborhood,neighborhood,total_count,temp,rain
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,count/East Village South_2025_count.json,,,,2025-09-25,,east_village_south,,68.0,2
https://lh3.googleusercontent.com/d/1SzTzmqgAEVAMVuGRAmzggP65cNrbv3tX,Ihb2daS4/mM4WM37GBXAMx6SpMfYd0RZUpJJ3w==,count/East Village South_2025_count.json,,,,2025-12-17,,east_village_south,,54.0,2
https://lh3.googleusercontent.com/d/1U2vvqDPn9O4lL1c2lLUYk8FNvUhon4cx,VPnMZb55IRRsAJHXz+EOcoj60PeYjps1FIEkSg==,count/East Village_2025_count.json,,,,2025-09-25,,east_village,,69.0,2
https://lh3.googleusercontent.com/d/1Oxmyx8SES-vS7sPlrri3mJ1uyQ2FWJ9o,HFzRgMrudOG1R5v1CwrJFZYeprG1FOE9vY/H5Q==,count/East Village_2025_count.json,,,,2025-12-18,,east_village,,54.0,2
https://lh3.googleusercontent.com/d/1zF_1dWgmpc94glqYaglQ9XGMJCaW5WLF,AK3FWd9ysuuv1B0cTTzEFQ3w2eB4MDNWemARCg==,count/City Center_2025_count.json,,,,2025-09-25,,City Center,,68.0,2
https://lh3.googleusercontent.com/d/1fKihZ6vv9-GcKNPJhOw_cznUBvlVOBC5,UYMFZfYVgDdHfuOhrn9KeRok6jkOya9me8MrYw==,count/City Center_2025_count.json,,,,2025-12-18,,City Center,,,2
https://lh3.googleusercontent.com/d/1icnOxg4QU7YsCLJXs7vx1HbVWA5vOOUp,SMQTHcXkLwb6EdDS0Gh65xsyMbT+fqG/+mdNcw==,count/Cortez_2025_count.json,,,,2025-09-25,,cortez,,69.0,2
https://lh3.googleusercontent.com/d/1Q_c0fB_VACRWoN6z52xvs4RtbTAUsBia,T3J8ojFbAavyBWwI7HfH4lkJFVQbgIbu9Ep3gg==,count/Cortez_2025_count.json,,,,2025-12-18,,cortez,,53.0,2
https://lh3.googleusercontent.com/d/18JqDVKXNDCuz6JIQUEinwBWETl-HTkCD,NA81PMDdfrkvdxxAz2j4bSXVwwovpQdjRoSa9A==,count/Golden Hill_2025_count.json,,,,2025-09-25,,Golden Hill,,,2
https://lh3.googleusercontent.com/d/1wwEfGNVOYnaoOymAx74cWnebnyIGk30y,WCZv0Qdzbn2XojjWftsFZ+JeSnmNjv19ltiHYA==,count/Golden Hill_2025_count.json,,,,2025-12-18,,Golden Hill,,,2
https://lh3.googleusercontent.com/d/1TgBqSSAapyPKDVW8s3e2q8R3WutoLBvM,B1U4+fHhwTKXYIbJn0bpsN1Ja68UOZZI/ZEyJA==,count/Marina_2025_count.json,,,,2025-09-25,,marina,,,2
https://lh3.googleusercontent.com/d/12f289TC3nxnZ22Q9L43DxKte7uhkFGcA,zvBWaLMhG2DKY8aJMCHCNpN9cvQiw0wfYSDFpg==,count/Marina_2025_count.json,,,,2025-12-18,,marina,,,2
https://lh3.googleusercontent.com/d/1aXW3FkAWEqyQAJvtCM_3Xl3sJdt17y_n,uZBomxmfbj5IZ7JIJY8Y0rRsbVG0F/2VuRTh4Q==,count/Columbia_2025_count.json,,,,2025-09-24,,columbia,,69.0,2
https://lh3.googleusercontent.com/d/17GSYt6Mqt5MCtohXQSPQqkXt_Oqll_zv,f62xj4yA4PAOikl767ErpZ3vbJySLV7kltrZ6w==,count/Columbia_2025_count.json,,,,2025-12-18,,columbia,,53.0,2
https://lh3.googleusercontent.com/d/14SngURwPNLBKa0R0LZiNEBznaRTqDHfk,HxmmZar+k7T1ZUeO6EtH/0GrRZEQ5Mci02uncw==,count/Barrio Logan_2025_count.json,,,,2025-09-25,,Barrio Logan,,,2
https://lh3.googleusercontent.com/d/1w8YnFclXi9R4EKF5wPL4gMutIIhaXHF1,3Cp6LLgcF8OHkBKMI6bHgmmPZ/j1RNBoA60dzw==,count/Barrio Logan_2025_count.json,,,,2025-12-18,,Barrio Logan,,,2
https://lh3.googleusercontent.com/d/1xqGyvlbyoZU_05ixA3qWaWQVWQ9ropl6,A/HVjj8T/Yr2UhlUoxDxfSyEZbDh62E6Q16w+A==,count/Gaslamp_2025_count.json,,,,2025-09-25,,gaslamp,,69.0,2
https://lh3.googleusercontent.com/d/1iq0FxmUbsrwa8kEouAtY0v7QF34Lpwv3,/J5or9BuYjLNBjQd6ia3wxYWQBUmRFI9MUaq1A==,count/Gaslamp_2025_count.json,,,,2025-12-18,,gaslamp,,54.0,2
https://lh3.googleusercontent.com/d/1ZTHELJGE0-DGxgJazwjpGNWIZVWYCmi5,Cg6j3jHdQCSeC21reSG07SCOgQQN9XqDMA1kGA==,count/Sherman Heights_2025_count.json,,,,2025-09-25,,Sherman Heights,,,2
https://lh3.googleusercontent.com/d/1Vi-exe6QNF8tfgd6ScbpkNKBbSx9XtWi,J+om/Dx+IDJtc2PfDYXsMpqZukjW66TGmnninQ==,count/Sherman Heights_2025_count.json,,,,2025-12-18,,Sherman Heights,,,2
