url,neighborhood,source,dest,matrix
https://lh3.googleusercontent.com/d/12f289TC3nxnZ22Q9L43DxKte7uhkFGcA,Marina,"POLYGON ((329.5 1637, 328.5 1491.5, 1206.5 1048, 1205 1634, 329.5 1637))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.534751748287638, 0.009849493903868519, 0.0], [-0.0029446263215504587, 2.6410790042866665, 0.0], [6278101.672064968, 1835941.9443558585, 1.0]]"
https://lh3.googleusercontent.com/d/14SngURwPNLBKa0R0LZiNEBznaRTqDHfk,Barrio Logan,"POLYGON ((407.5 1503, 1044.5 986, 1263.5 1263.5, 472 1905, 407.5 1503))","POLYGON ((6284815.309510723 1836171.631447062, 6284995.965973556 1837498.1724291444, 6287564.770219132 1835343.8962258995, 6286846.508204222 1834458.5886133164, 6284815.309510723 1836171.631447062))","[[3.2099501914200914, -0.051803060758078646, 0.0], [-0.01628788208017795, 3.276692534277572, 0.0], [6283520.746591337, 1831274.8807397285, 0.9999999999999997]]"
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,East Village South,"POLYGON ((282 1726, 287 1126.5, 1277 1117, 1275 1725.5, 282 1726))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.7423129477404715, -0.012805919917015194, 0.0], [0.02233294323377777, 3.144935559614396, 0.0], [6281460.06840246, 1834451.1016829105, 0.9999999999999997]]"
https://lh3.googleusercontent.com/d/17GSYt6Mqt5MCtohXQSPQqkXt_Oqll_zv,Columbia,"POLYGON ((866.5 1768.5, 857 1301.5, 1313.5 1291, 1322.5 1758.5, 866.5 1768.5))","POLYGON ((6278946 1841436.99999983, 6278953.17300012 1842563.14399985, 6279780 1842558.99999987, 6279769 1841430.99999986, 6278946 1841436.99999983))","[[1.8076596821258089, 0.04305425919740073, 0.0], [-0.016336251032043947, 2.411287156191065, 0.0], [6277416.91257602, 1838261.6443010317, 1.0000000000000002]]"
https://lh3.googleusercontent.com/d/18JqDVKXNDCuz6JIQUEinwBWETl-HTkCD,Golden Hill,"POLYGON ((198.5 1645.5, 195 1299, 1187.5 1330.5, 1185.5 1638.5, 198.5 1645.5))","POLYGON ((6285851.602057546 1841024.0836843997, 6285845.135206968 1842159.1903380603, 6289136.307430387 1842152.8734215647, 6289139.730979964 1841108.5644865632, 6285851.602057546 1841024.0836843997))","[[3.3239944912099784, -0.0017370965210563366, 0.0], [-0.024557857233048708, 3.3265545373899386, 0.0], [6285230.541950918, 1836694.4843378144, 1.0000000000000002]]"
https://lh3.googleusercontent.com/d/1Oxmyx8SES-vS7sPlrri3mJ1uyQ2FWJ9o,East Village,"POLYGON ((247 1480.5, 247 1027, 1282.5 1024.5, 1280.5 1480, 247 1480.5))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.6326862727068967, -0.005016459157923616, 0.0], [0.011305922685096448, 2.541250115393268, 0.0], [6281608.553194909, 1837265.6474341666, 0.9999999999999996]]"
https://lh3.googleusercontent.com/d/1Q_c0fB_VACRWoN6z52xvs4RtbTAUsBia,Cortez,"POLYGON ((528 1586.5, 527 1294, 1327.5 1290.5, 1328 1582.5, 528 1586.5))","POLYGON ((6280594 1842941.99999986, 6280598.99400006 1843695.21999986, 6282840 1843687.99999984, 6282836.99999987 1842925.99999983, 6280594 1842941.99999986))","[[2.80165875716732, -0.00236219309758041, 0.0], [0.006487628837021475, 2.5923265775113578, 0.0], [6279109.278152239, 1839586.258488292, 0.9999999999999999]]"
https://lh3.googleusercontent.com/d/1SzTzmqgAEVAMVuGRAmzggP65cNrbv3tX,East Village South,"POLYGON ((299 1700, 300 1111.5, 1279 1100, 1277 1698.5, 299 1700))","POLYGON ((6282272.21743156 1837990.84746804, 6282272 1839874.99999986, 6284995.00099991 1839861.99999983, 6284987 1837946.99999986, 6282272.21743156 1837990.84746804))","[[2.7787203389602837, -0.007786923311895197, 0.0], [0.01365725874711643, 3.2006060245153094, 0.0], [6281420.684635116, 1834436.0038532778, 0.9999999999999999]]"
https://lh3.googleusercontent.com/d/1TgBqSSAapyPKDVW8s3e2q8R3WutoLBvM,Marina,"POLYGON ((317.5 1661, 316.5 1511.5, 1208.5 1071, 1204 1665, 317.5 1661))","POLYGON ((6278929 1839874.99999984, 6278933 1840277.99999986, 6281151 1840266.99999984, 6281156.999 1838723.99999984, 6278929 1839874.99999984))","[[2.502049609764574, -0.01438342207325915, 0.0], [0.008925172486669908, 2.6034041564553263, 0.0], [6278123.692620556, 1835951.4014090772, 0.9999999999999997]]"
https://lh3.googleusercontent.com/d/1U2vvqDPn9O4lL1c2lLUYk8FNvUhon4cx,East Village,"POLYGON ((225 1471.5, 227 1011, 1275.5 1007.5, 1274.5 1472, 225 1471.5))","POLYGON ((6282272 1839874.99999986, 6282274 1841025.99999984, 6284997.99899991 1841020.99999985, 6284995.00099991 1839861.99999983, 6282272 1839874.99999986))","[[2.5963015487605814, -0.005009124246563334, 0.0], [0.0138159475663997, 2.497271772673912, 0.0], [6281669.0870046485, 1837351.8937135881, 0.9999999999999999]]"
