image_url,date,neighborhood,total_count,temp,rain,source_file
https://lh3.googleusercontent.com/d/16RCG99ggyCCcaoZxS6Wxk7Lk_sQZ4Wj-,2025-09-25,East Village South,,68,2,count/East Village South_2025_count.json
https://lh3.googleusercontent.com/d/1SzTzmqgAEVAMVuGRAmzggP65cNrbv3tX,2025-12-17,East Village South,,54,2,count/East Village South_2025_count.json
https://lh3.googleusercontent.com/d/1U2vvqDPn9O4lL1c2lLUYk8FNvUhon4cx,2025-09-25,East Village,,69,2,count/East Village_2025_count.json
https://lh3.googleusercontent.com/d/1Oxmyx8SES-vS7sPlrri3mJ1uyQ2FWJ9o,2025-12-18,East Village,,54,2,count/East Village_2025_count.json
https://lh3.googleusercontent.com/d/1zF_1dWgmpc94glqYaglQ9XGMJCaW5WLF,2025-09-25,City Center,,68,2,count/City Center_2025_count.json
https://lh3.googleusercontent.com/d/1fKihZ6vv9-GcKNPJhOw_cznUBvlVOBC5,2025-12-18,City Center,,,2,count/City Center_2025_count.json
https://lh3.googleusercontent.com/d/1icnOxg4QU7YsCLJXs7vx1HbVWA5vOOUp,2025-09-25,Cortez,,69,2,count/Cortez_2025_count.json
https://lh3.googleusercontent.com/d/1Q_c0fB_VACRWoN6z52xvs4RtbTAUsBia,2025-12-18,Cortez,,53,2,count/Cortez_2025_count.json
https://lh3.googleusercontent.com/d/18JqDVKXNDCuz6JIQUEinwBWETl-HTkCD,2025-09-25,Golden Hill,,,2,count/Golden Hill_2025_count.json
https://lh3.googleusercontent.com/d/1wwEfGNVOYnaoOymAx74cWnebnyIGk30y,2025-12-18,Golden Hill,,,2,count/Golden Hill_2025_count.json
https://lh3.googleusercontent.com/d/1TgBqSSAapyPKDVW8s3e2q8R3WutoLBvM,2025-09-25,Marina,,,2,count/Marina_2025_count.json
https://lh3.googleusercontent.com/d/12f289TC3nxnZ22Q9L43DxKte7uhkFGcA,2025-12-18,Marina,,,2,count/Marina_2025_count.json
https://lh3.googleusercontent.com/d/1aXW3FkAWEqyQAJvtCM_3Xl3sJdt17y_n,2025-09-24,Columbia,,69,2,count/Columbia_2025_count.json
https://lh3.googleusercontent.com/d/17GSYt6Mqt5MCtohXQSPQqkXt_Oqll_zv,2025-12-18,Columbia,,53,2,count/Columbia_2025_count.json
https://lh3.googleusercontent.com/d/14SngURwPNLBKa0R0LZiNEBznaRTqDHfk,2025-09-25,Barrio Logan,,,2,count/Barrio Logan_2025_count.json
https://lh3.googleusercontent.com/d/1w8YnFclXi9R4EKF5wPL4gMutIIhaXHF1,2025-12-18,Barrio Logan,,,2,count/Barrio Logan_2025_count.json
https://lh3.googleusercontent.com/d/1xqGyvlbyoZU_05ixA3qWaWQVWQ9ropl6,2025-09-25,Gaslamp,,69,2,count/Gaslamp_2025_count.json
https://lh3.googleusercontent.com/d/1iq0FxmUbsrwa8kEouAtY0v7QF34Lpwv3,2025-12-18,Gaslamp,,54,2,count/Gaslamp_2025_count.json
https://lh3.googleusercontent.com/d/1ZTHELJGE0-DGxgJazwjpGNWIZVWYCmi5,2025-09-25,Sherman Heights,,,2,count/Sherman Heights_2025_count.json
https://lh3.googleusercontent.com/d/1Vi-exe6QNF8tfgd6ScbpkNKBbSx9XtWi,2025-12-18,Sherman Heights,,,2,count/Sherman Heights_2025_count.json
