file_id,neighborhood,date,count,type,x,y
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,1,3,6285355.038552654,1837647.1438659136
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,1,1,6285339.723655073,1837807.6124149733
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,2,2,6285330.858339015,1838490.1274610092
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,9,1,6285340.112593248,1838634.7560789918
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,6,2,6285319.6480639195,1838842.4242732858
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,3,1,6285364.239725267,1838942.8573164747
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,4,2,6285353.9851276595,1839043.546478062
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,1,1,6285350.957125519,1839389.5150014595
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,3,1,6285344.874149227,1839691.467232942
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,1,3,6285130.10189211,1837638.759144668
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,1,1,6285123.5499240095,1837874.6677293987
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,1,2,6285127.475882948,1838041.3365081383
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,3,1,6285064.33568632,1838032.1962376176
Lb+y/BaXlGeofHZOffEDz70DORwkZWewkxkFLw==,east_village_south,2025-09-25,16,2,6285189.392406768,1838264.3452026327
