image_url,x,y,width,height,neighborhood,intersection
"https://lh3.googleusercontent.com/d/1akCuU3ayQRULpz7UVlXrAE6pz5WMXGyC
",1332,354,44,45,city_center,11th_B
"https://lh3.googleusercontent.com/d/1akCuU3ayQRULpz7UVlXrAE6pz5WMXGyC
",1328,581,53,59,city_center,11th_Broadway
"https://lh3.googleusercontent.com/d/1DHIfcwN3kps1tp59nQijNySoDwC2aRX0
",409,361,45,48,city_center,Front_B
"https://lh3.googleusercontent.com/d/1DHIfcwN3kps1tp59nQijNySoDwC2aRX0
",402,584,57,66,city_center,Front_Broadway
"https://lh3.googleusercontent.com/d/1DHIfcwN3kps1tp59nQijNySoDwC2aRX0
",1335,365,44,45,city_center,11th_B
"https://lh3.googleusercontent.com/d/1DHIfcwN3kps1tp59nQijNySoDwC2aRX0
",1329,592,53,59,city_center,11th_Broadway
"https://lh3.googleusercontent.com/d/1hJm2kSZCJRrPnq4OgYWwCK2ZY6plyXLP
",410,365,45,48,city_center,Front_B
"https://lh3.googleusercontent.com/d/1hJm2kSZCJRrPnq4OgYWwCK2ZY6plyXLP
",402,590,57,66,city_center,Front_Broadway
"https://lh3.googleusercontent.com/d/1hJm2kSZCJRrPnq4OgYWwCK2ZY6plyXLP
",1334,373,44,45,city_center,11th_B
"https://lh3.googleusercontent.com/d/1hJm2kSZCJRrPnq4OgYWwCK2ZY6plyXLP
",1327,602,53,59,city_center,11th_Broadway
"https://lh3.googleusercontent.com/d/1Mjmoln4DXXbMoR8tYzlYd1gzHYURqmwx
",408,353,45,48,city_center,Front_B
"https://lh3.googleusercontent.com/d/1Mjmoln4DXXbMoR8tYzlYd1gzHYURqmwx
",403,580,57,66,city_center,Front_Broadway
"https://lh3.googleusercontent.com/d/1Mjmoln4DXXbMoR8tYzlYd1gzHYURqmwx
",1336,354,44,45,city_center,11th_B
"https://lh3.googleusercontent.com/d/1Mjmoln4DXXbMoR8tYzlYd1gzHYURqmwx
",1331,581,53,59,city_center,11th_Broadway
