image_url,cx,cy,r,type,count
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",283,194,47.0,2,5
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",138,184,37.0,2,"2
"
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",171,248,26.724,1,2
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",154,317,38.0,2,4
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",169,397,28.0,1,
"https://lh3.googleusercontent.com/d/1jyArTiQDY9BBa0FAhhypZce1T-fNWQjX
",161,465,30.0,2,
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",204,246,39.0,2,6
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",285,258,35.0,2,7
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",205,323,31.0,2,4
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",286,366,20.937,2,9
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",302,326,16.0,2,
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",289,204,16.0,1,2
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",211,375,18.0,1,5
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",281,404,16.01,1,3
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",300,437,21.0,2,6
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",310,586,32.0,2,4
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",210,627,40.0,2,4
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",216,731,31.0,2,6
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",213,795,33.0,2,3
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",280,786,27.0,2,8
"https://lh3.googleusercontent.com/d/1Cgrh03QLCkw9DMCEEZ2aLtLk7jvEVu--
",324,798,16.123,1,5
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",137,277,32.517,2,5
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",257,278,20.0,2,
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",152,394,24.0,1,
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",217,455,34.0,2,3
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",286,456,35.0,2,2
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",219,580,31.0,2,
"https://lh3.googleusercontent.com/d/1TyWQNmf84eYNUku3LsLw_1ZEFSln06ni
",273,560,27.0,2,2
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",128,278,33.0,2,15
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",225,321,31.0,2,4
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",218,393,30.0,2,8
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",136,359,31.0,2,4
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",225,540,35.0,2,6
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",233,624,26.0,2,5
"https://lh3.googleusercontent.com/d/1yGft0p4OGsoFZLwl0EKs7jE3S9-gBUsY
",233,676,23.0,1,2
"https://lh3.googleusercontent.com/d/1fddAJm9SWK1Mspt9kXkNrrKEiKP7U1Jf
",207,283,31.0,2,2
"https://lh3.googleusercontent.com/d/1fddAJm9SWK1Mspt9kXkNrrKEiKP7U1Jf
",228,460,33.0,2,3
"https://lh3.googleusercontent.com/d/1fddAJm9SWK1Mspt9kXkNrrKEiKP7U1Jf
",227,560,41.0,2,5
"https://lh3.googleusercontent.com/d/1FGgpJGx8Y6ZPkXuynCU0Y3f58jfNm6MD
",223,279,27.084,2,6
"https://lh3.googleusercontent.com/d/1FGgpJGx8Y6ZPkXuynCU0Y3f58jfNm6MD
",215,347,25.623,1,4
"https://lh3.googleusercontent.com/d/1FGgpJGx8Y6ZPkXuynCU0Y3f58jfNm6MD
",236,623,32.771,2,2
"https://lh3.googleusercontent.com/d/1FGgpJGx8Y6ZPkXuynCU0Y3f58jfNm6MD
",231,769,33.232,2,"10
"
"https://lh3.googleusercontent.com/d/1DmfNAtY-hU9jTEhbdGFNHgjOkm1aVueS
",275,76,25.0,2,3
"https://lh3.googleusercontent.com/d/1DmfNAtY-hU9jTEhbdGFNHgjOkm1aVueS
",96,215,20.0,1,
"https://lh3.googleusercontent.com/d/1DmfNAtY-hU9jTEhbdGFNHgjOkm1aVueS
",138,217,28.0,2,4
"https://lh3.googleusercontent.com/d/1DmfNAtY-hU9jTEhbdGFNHgjOkm1aVueS
",111,434,21.0,3,2
"https://lh3.googleusercontent.com/d/1DmfNAtY-hU9jTEhbdGFNHgjOkm1aVueS
",92,490,20.0,2,5
"https://lh3.googleusercontent.com/d/1DmfNAtY-hU9jTEhbdGFNHgjOkm1aVueS
",87,534,15.0,1,
"https://lh3.googleusercontent.com/d/1DmfNAtY-hU9jTEhbdGFNHgjOkm1aVueS
",133,528,22.0,3,2
"https://lh3.googleusercontent.com/d/1DmfNAtY-hU9jTEhbdGFNHgjOkm1aVueS
",137,670,22.0,1,
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",256,225,31.0,2,15
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",401,127,21.0,2,3
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",450,127,22.0,3,
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",513,127,20.0,2,2
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",268,307,19.0,2,3
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",327,339,18.0,1,
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",266,389,19.585,1,
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",273,443,25.0,2,9
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",237,503,14.0,1,
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",267,525,17.0,1,
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",248,565,22.0,2,8
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",290,567,20.0,3,
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",279,632,24.0,3,3
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",290,692,22.0,2,3
"https://lh3.googleusercontent.com/d/1lRP3cA22bQfaXDwmrohyLn-IceymveVQ
",286,748,16.0,1,
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",221,193,21.0,2,
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",170,495,38.0,2,13
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",168,613,32.0,2,4
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",213,622,23.862,1,
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",195,677,28.0,3,2
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",152,894,24.0,1,10
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",244,889,25.0,1,7
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",154,942,27.0,2,15
"https://lh3.googleusercontent.com/d/1lwDj3KgElYbZw1_aREvtYWiLED4Wug7a
",242,942,28.0,2,
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",333,144,30.0,2,2
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",166,214,30.188,1,
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",200,268,26.845,1,2
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",157,337,27.001,1,
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",201,336,28.663,2,3
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",213,414,27.617,2,7
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",162,476,28.516,2,3
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",214,479,28.516,2,8
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",167,558,28.516,2,2
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",213,560,28.516,3,
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",201,682,28.516,2,15
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",169,414,28.516,2,
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",177,797,33.0,2,13
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",249,962,28.0,1,1
"https://lh3.googleusercontent.com/d/1gyiPdHHps-Dwz7_B648tAq0-gYeyN-oS
",185,894,28.0,1,3
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",414,160,38.454,2,"4
"
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",737,163,38.454,2,2
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",180,274,28.867,2,4
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",222,279,22.0,1,
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",222,376,21.0,3,2
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",211,420,24.0,2,4
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",167,425,20.0,1,3
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",212,476,26.0,2,6
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",215,542,21.0,3,
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",168,558,26.0,2,4
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",224,610,23.0,3,2
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",178,638,26.0,2,10
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",221,754,27.0,2,8
"https://lh3.googleusercontent.com/d/1VaJR0pUd8WtM6aqWRee4zdvv6wM16M5X
",183,833,32.0,2,20
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",172,166,38.0,2,12
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",172,166,38.0,2,12
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",165,274,23.339,2,3
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",172,166,38.0,2,12
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",208,280,18.879,1,2
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",167,327,32.0,2,5
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",207,375,30.0,3,2
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",175,421,24.0,3,
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",177,470,26.0,2,6
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",186,616,26.0,2,2
"https://lh3.googleusercontent.com/d/18Mo8vM17ThuBN32Kwz-gvgE9vnsGa3Ox
",217,754,30.0,2,6
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",224,409,14.0,1,2
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",304,321,15.0,1,3
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",365,325,14.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",329,495,14.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",256,445,23.0,2,2
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",713,320,15.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",670,454,14.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",544,495,17.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",567,688,16.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",628,689,13.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",766,732,13.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",712,609,19.0,1,9
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",765,556,25.0,1,14
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",760,599,19.0,2,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",715,554,20.0,2,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",819,344,17.0,1,5
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",1070,302,13.0,1,2
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",1021,346,15.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",975,462,14.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",948,501,14.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",1020,458,14.0,1,2
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",1127,546,13.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",1072,620,13.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",935,676,18.0,1,3
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",1019,793,13.0,1,
"https://lh3.googleusercontent.com/d/12L-mO46Sr2iOdXObVoby-0rDcjCa8dto
",962,832,20.0,1,6
